Title1,Title_URL,Image,flex,flex1,flex2,textblack,flex3,flex4,scfrdjqd,schqync,textsm
Proton X70 TGDI PREMIUM 1.8 (A) 3YRS WRT H/L,https://www.mudah.my/2020-proton-x70-tgdi-premium-1-8-a-3yrs-wrt-h-l-109748363.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,50000 - 54999,2020,,1799cc,1799cc,2025,Johor,"RM53,999"
Kia OPTIMA 2.0 K5 (A) 3Y FULL WARRANTY H/LOAN,https://www.mudah.my/2016-kia-optima-2-0-k5-a-3y-full-warranty-h-loan-109702716.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,65000 - 69999,2016,,1999cc,1999cc,2025,Johor,"RM43,999"
Toyota HILUX 2.5 G TRD (A) 3YRS WRT H/LOAN,https://www.mudah.my/2016-toyota-hilux-2-5-g-trd-a-3yrs-wrt-h-loan-108801964.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,70000 - 74999,2016,,2494cc,2494cc,2025,Johor,"RM59,999"
Mercedes Benz E43 3.0 AMG LINE (A),https://www.mudah.my/2017-mercedes-benz-e43-3-0-amg-line-a-109239618.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,60000 - 64999,2017,,2996cc,2996cc,2025,Johor,"RM227,800"
Toyota ESTIMA 2.4 (A) AERAS G ELECTRONIC SEAT,https://www.mudah.my/2012-toyota-estima-2-4-a-aeras-g-electronic-seat-109287537.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,150000 - 159999,2012,2012,2362cc,2012,2025,Kuala Lumpur,"RM68,800"
Honda CITY 1.5 S+ (A),https://www.mudah.my/2015-honda-city-1-5-s-a-109631802.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,130000 - 139999,2015,2015,1497cc,2015,2025,Kuala Lumpur,
Proton EXORA 1.6 Premium Turbo (A),https://www.mudah.my/2018-proton-exora-1-6-premium-turbo-a-108319195.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,75000 - 79999,2018,2018,1561cc,2018,2025,Selangor,
Perodua MYVI 1.3 SE FACELIFT (A),https://www.mudah.my/2011-perodua-myvi-1-3-se-facelift-a-107969994.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,120000 - 129999,2011,,1298cc,1298cc,2025,Johor,
Mercedes Benz A250 AMG (5 YR WRNTY),https://www.mudah.my/2020-mercedes-benz-a250-amg-5-yr-wrnty-107197593.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Recon,10000 - 14999,2020,,1991cc,1991cc,2025,Johor,
/20 Mercedes Benz C200 AMG 2.0 (stage2),https://www.mudah.my/2015-20-mercedes-benz-c200-amg-2-0-stage2-109800356.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,100000 - 109999,2015,2015,1991cc,2015,2025,Johor,"RM125,800"
Toyota VELLFIRE 2.4T Z PREMIER (A) HUD BSM SR,https://www.mudah.my/2023-toyota-vellfire-2-4t-z-premier-a-hud-bsm-sr-108722756.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Recon,0 - 4999,2023,,2393cc,2393cc,2025,Kuala Lumpur,"RM447,000"
Toyota HARRIER 2.0 Z (A) HUD BSM 4CAM JBL,https://www.mudah.my/2021-toyota-harrier-2-0-z-a-hud-bsm-4cam-jbl-100458100.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Recon,5000 - 9999,2021,,1986cc,1986cc,2025,Kuala Lumpur,"RM180,000"
Land Rover DEFENDER 90 V8 P525 5.0 (A) 2 DOOR,https://www.mudah.my/2021-land-rover-defender-90-v8-p525-5-0-a-2-door-109809884.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Recon,5000 - 9999,2021,,5000cc,5000cc,2025,Kuala Lumpur,"RM1,000,000"
Audi Q3 2.0 TFSI S-LINE (A) 118435KM 1YRWNRTY,https://www.mudah.my/2014-audi-q3-2-0-tfsi-s-line-a-118435km-1yrwnrty-108460949.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,110000 - 119999,2014,,1984cc,1984cc,2025,Selangor,"RM37,788"
Toyota ALTIS 2.0 V (A) F/LIFT 2YR WARRANTY,https://www.mudah.my/2011-toyota-altis-2-0-v-a-f-lift-2yr-warranty-108499892.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,120000 - 129999,2011,2011,1987cc,2011,2025,Selangor,"RM29,488"
Toyota AVANZA 1.5 G FACELIFT (A),https://www.mudah.my/2009-toyota-avanza-1-5-g-facelift-a-109809796.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,150000 - 159999,2009,,1495cc,1495cc,2025,Kuala Lumpur,"RM15,999"
Honda CR-V 2.0 i-VTEC (A) loan kedai,https://www.mudah.my/2010-honda-cr-v-2-0-i-vtec-a-loan-kedai-109484875.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,100000 - 109999,2010,2010,1997cc,2010,2025,Johor,"RM29,800"
Nissan GRAND LIVINA 1.8 (A) loan kedai,https://www.mudah.my/2013-nissan-grand-livina-1-8-a-loan-kedai-109484934.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,100000 - 109999,2013,2013,1798cc,2013,2025,Johor,"RM25,900"
Mazda 3 1.6 SPORT (A) loan kedai,https://www.mudah.my/2014-mazda-3-1-6-sport-a-loan-kedai-109484910.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,100000 - 109999,2014,2014,1598cc,2014,2025,Johor,"RM23,900"
Honda CITY 1.5 E (A) LOAN KEDAI,https://www.mudah.my/2012-honda-city-1-5-e-a-loan-kedai-109484646.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,100000 - 109999,2012,2012,1497cc,2012,2025,Johor,"RM29,800"
Perodua BEZZA 1.3 PREMIUM X (A) F*LOAN AVAILABLE,https://www.mudah.my/perodua-bezza-1-3-premium-x-a-f-loan-available-109775013.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,55000 - 59999,2019,2019,1329cc,2019,2025,Selangor,"RM35,800"
Toyota HILUX 2.8 G VNT (A)FULL LOAN AVAILABLE,https://www.mudah.my/2016-toyota-hilux-2-8-g-vnt-a-full-loan-available-108346745.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,60000 - 64999,2016,2016,2755cc,2016,2025,Selangor,"RM82,800"
Honda CIVIC 1.8 S i-VTEC (A) F*SERVICE RECORD,https://www.mudah.my/2018-honda-civic-1-8-s-i-vtec-a-f-service-record-108507761.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,150000 - 159999,2018,2018,1799cc,2018,2025,Selangor,"RM73,800"
Mercedes GLC250 (CKD) 2.0 (A) DIRECT OWNER,https://www.mudah.my/2016-mercedes-glc250-ckd-2-0-a-direct-owner-108997148.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,95000 - 99999,2016,2016,1991cc,2016,2025,Kuala Lumpur,"RM113,800"
Ford RANGER 2.0L WILDTRAK 4WD (A) F*LOAN AVAILABLE,https://www.mudah.my/ford-ranger-2-0l-wildtrak-4wd-a-f-loan-available-108572935.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,75000 - 79999,2018,2018,1996cc,2018,2025,Selangor,"RM76,800"
Perodua MYVI 1.3 EZi (A) One Year Warranty,https://www.mudah.my/2009-perodua-myvi-1-3-ezi-a-one-year-warranty-106745834.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,120000 - 129999,2009,2009,1298cc,2009,2025,Selangor,"RM12,800"
/2024 TOYOTA VELLFIRE 2.5 (A) ZSPEC #Mileage23,https://www.mudah.my/2021-2024-toyota-vellfire-2-5-a-zspec-mileage23-108019316.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Recon,20000 - 24999,2021,,2494cc,2494cc,2025,Kuala Lumpur,"RM209,500"
Ford RANGER 2.0 WILDTRAK Bi-Turbo 4WD (A),https://www.mudah.my/2019-ford-ranger-2-0-wildtrak-bi-turbo-4wd-a-107012513.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,60000 - 64999,2019,,1998cc,1998cc,2025,Kuala Lumpur,"RM82,800"
Mitsubishi XPANDER 1.5 (A) LOW MILEAGE 26K,https://www.mudah.my/2022-mitsubishi-xpander-1-5-a-low-mileage-26k-109580093.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,25000 - 29999,2022,2022,1499cc,2022,2025,Kuala Lumpur,"RM70,888"
Honda CIVIC 1.8 S (A) FACELIFT ELECTRIC SEAT,https://www.mudah.my/2020-honda-civic-1-8-s-a-facelift-electric-seat-109279583.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,45000 - 49999,2020,2020,1799cc,2020,2025,Kuala Lumpur,"RM74,888"
Perodua AXIA 1.0 AV (A) FULL SPEC-1 OWNER,https://www.mudah.my/2015-perodua-axia-1-0-av-a-full-spec-1-owner-106448750.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,90000 - 94999,2015,2015,998cc,2015,2025,Selangor,"RM23,800"
Proton SAGA 1.3 FLX EXECUTIVE ENHANCED (A),https://www.mudah.my/2015-proton-saga-1-3-flx-executive-enhanced-a-109146092.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,90000 - 94999,2015,2015,1332cc,2015,2025,Selangor,"RM9,900"
Perodua MYVI 1.5 ADVANCE FACELIFT (A) ORI KM,https://www.mudah.my/2016-perodua-myvi-1-5-advance-facelift-a-ori-km-105582334.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,120000 - 129999,2016,2016,1495cc,2016,2025,Selangor,"RM29,800"
Proton PERSONA STANDARD 1.6L (A) - 1 OWNER,https://www.mudah.my/2020-proton-persona-standard-1-6l-a-1-owner-108290452.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,80000 - 84999,2020,2020,1597cc,2020,2025,Selangor,"RM30,800"
Mazda CX-5 2.0 G 2WD HIGH SPEC FACELIFT (A) F*LOAN,https://www.mudah.my/mazda-cx-5-2-0-g-2wd-high-spec-facelift-a-f-loan-108828295.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,120000 - 129999,2019,2019,1998cc,2019,2025,Selangor,"RM85,800"
Toyota HILUX 2.8 G VNT (A) P*START FULL LOAN,https://www.mudah.my/2016-toyota-hilux-2-8-g-vnt-a-p-start-full-loan-108334409.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,85000 - 89999,2016,2016,2755cc,2016,2025,Selangor,"RM82,800"
Perodua BEZZA 1.3 PREMIUM X (A)  FULL LOAN !!,https://www.mudah.my/2018-perodua-bezza-1-3-premium-x-a-full-loan-109748927.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,70000 - 74999,2018,,1329cc,1329cc,2025,Selangor,"RM32,800"
Ford RANGER 2.0 TURBO XLT PLUS (A) 4X4 FULL SERVIC,https://www.mudah.my/ford-ranger-2-0-turbo-xlt-plus-a-4x4-full-servic-108566758.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,100000 - 109999,2019,2019,1998cc,2019,2025,Selangor,"RM84,000"
Volkswagen TIGUAN 1.4 HIGHLINE (A),https://www.mudah.my/2018-volkswagen-tiguan-1-4-highline-a-109809729.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Recon,110000 - 119999,2018,,1395cc,1395cc,2025,Johor,"RM59,800"
Toyota C-HR 1.8 (A) CBU FULL SPEC 7 SPEED,https://www.mudah.my/2019-toyota-c-hr-1-8-a-cbu-full-spec-7-speed-109809727.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,80000 - 84999,2019,,1798cc,1798cc,2025,Pahang,"RM96,800"
Porsche MACAN S 3.0 V6 FACELIFT BOSE SOUND,https://www.mudah.my/2020-porsche-macan-s-3-0-v6-facelift-bose-sound-109040842.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Recon,55000 - 59999,2020,,2995cc,2995cc,2025,Selangor,"RM335,000"
Lexus RX450H 3.5 F SPORT (A),https://www.mudah.my/2021-lexus-rx450h-3-5-f-sport-a-109040801.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Recon,20000 - 24999,2021,,3456cc,3456cc,2025,Selangor,"RM385,000"
Porsche MACAN S 3.0 V6 FACELIFT JAPAN SPEC,https://www.mudah.my/2020-porsche-macan-s-3-0-v6-facelift-japan-spec-109040607.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Recon,55000 - 59999,2020,,2995cc,2995cc,2025,Selangor,"RM335,000"
Mercedes Benz C200 2.0 AMG LINE (A) 9 SPEED,https://www.mudah.my/2017-mercedes-benz-c200-2-0-amg-line-a-9-speed-109761917.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,80000 - 84999,2017,2017,1991cc,2017,2025,Kuala Lumpur,"RM105,800"
Nissan ALMERA 1.5 VL (A) PUSH START BUTTON,https://www.mudah.my/2016-nissan-almera-1-5-vl-a-push-start-button-109451668.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,85000 - 89999,2016,2016,1498cc,2016,2025,Kuala Lumpur,"RM27,800"
Toyota CAMRY 2.5 HYBRID (A),https://www.mudah.my/2015-toyota-camry-2-5-hybrid-a-109429882.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,130000 - 139999,2015,2015,2494cc,2015,2025,Johor,
Perodua MYVI 1.3 X (A),https://www.mudah.my/2015-perodua-myvi-1-3-x-a-108223657.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,0 - 4999,2015,2015,1298cc,2015,2025,Johor,
Mercedes Benz E300 2.0 AMG LINE (A),https://www.mudah.my/2020-mercedes-benz-e300-2-0-amg-line-a-107912063.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Recon,20000 - 24999,2020,,1991cc,1991cc,2025,Johor,
Toyota ALPHARD 2.5 SC (A) White,https://www.mudah.my/2021-toyota-alphard-2-5-sc-a-white-107171395.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Recon,15000 - 19999,2021,,2493cc,2493cc,2025,Selangor,
Proton SAGA 1.3L CVT,https://www.mudah.my/2016-proton-saga-1-3l-cvt-106699393.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,70000 - 74999,2016,2016,1332cc,2016,2025,Johor,
Toyota ALPHARD FULLY LOADED JBL 360 BODYKIT,https://www.mudah.my/2020-toyota-alphard-fully-loaded-jbl-360-bodykit-105472339.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Recon,10000 - 14999,2020,,3456cc,3456cc,2025,Selangor,
Honda CIVIC FC 1.5 TC-PREMIUM (A),https://www.mudah.my/2018-honda-civic-fc-1-5-tc-premium-a-109775300.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,80000 - 84999,2018,2018,1498cc,2018,2025,Johor,"RM91,800"
Mercedes Benz E200 2.0 (A),https://www.mudah.my/2021-mercedes-benz-e200-2-0-a-109588625.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,65000 - 69999,2021,2021,1991cc,2021,2025,Johor,"RM219,800"
Perodua ALZA 1.5 SE (A) ANDROID PLAYER MPV,https://www.mudah.my/2014-perodua-alza-1-5-se-a-android-player-mpv-109345550.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,130000 - 139999,2014,2014,1495cc,2014,2025,Kuala Lumpur,"RM29,800"
/2024 Reg PORSCHE CAYENNE COUPE 3.0 (A),https://www.mudah.my/2020-2024-reg-porsche-cayenne-coupe-3-0-a-109205954.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,50000 - 54999,2020,2020,2995cc,2020,2025,Johor,"RM426,800"
Nissan GT-R 3.8 JAPAN SPEC (A) (DIRECT OWNER),https://www.mudah.my/2013-nissan-gt-r-3-8-japan-spec-a-direct-owner-109440630.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,60000 - 64999,2013,2013,3799cc,2013,2025,Johor,"RM389,800"
/2012 Audi A5 S5 Quattro S 4.2 V8 (A),https://www.mudah.my/2008-2012-audi-a5-s5-quattro-s-4-2-v8-a-109435271.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,70000 - 74999,2008,2008,4163cc,2008,2025,Johor,"RM59,800"
Honda CR-V 2.0 i-VTEC FACELIFT (A) F/S RECORD,https://www.mudah.my/2013-honda-cr-v-2-0-i-vtec-facelift-a-f-s-record-109705081.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,170000 - 179999,2013,2013,1997cc,2013,2025,Kuala Lumpur,"RM29,800"
Honda CIVIC 1.8 S i-VTEC (A) ELECTRONIC SEAT,https://www.mudah.my/2018-honda-civic-1-8-s-i-vtec-a-electronic-seat-108869477.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,75000 - 79999,2018,2018,1799cc,2018,2025,Kuala Lumpur,"RM66,800"
Bmw 328i 2.0 (A) TURBO LUXURY 1 YEAR WARRANTY,https://www.mudah.my/2012-bmw-328i-2-0-a-turbo-luxury-1-year-warranty-108890405.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,120000 - 129999,2012,2012,1997cc,2012,2025,Selangor,"RM44,988"
Toyota YARIS 1.5 E (A) Toyota Service 89928KM,https://www.mudah.my/2019-toyota-yaris-1-5-e-a-toyota-service-89928km-109116856.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,90000 - 94999,2019,2019,1496cc,2019,2025,Selangor,"RM52,788"
Mazda 3 2.0 SPORT (A) FS106269KM 2YR WARRANTY,https://www.mudah.my/2013-mazda-3-2-0-sport-a-fs106269km-2yr-warranty-108895088.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,100000 - 109999,2013,2013,1999cc,2013,2025,Selangor,"RM28,788"
Honda CIVIC 1.5 (A) TC-P FS113103KM 2YRWARTY,https://www.mudah.my/2017-honda-civic-1-5-a-tc-p-fs113103km-2yrwarty-108669582.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,110000 - 119999,2017,2017,1498cc,2017,2025,Selangor,"RM79,288"
Toyota VELLFIRE 2.5 Z G EDITION (A),https://www.mudah.my/2016-toyota-vellfire-2-5-z-g-edition-a-109809709.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,130000 - 139999,2016,,2493cc,2493cc,2025,Johor,"RM163,888"
LANDCRUISER 4.6 AX G URJ202W FL M/LSTA F/SPEC Rg16,https://www.mudah.my/landcruiser-4-6-ax-g-urj202w-fl-m-lsta-f-spec-rg16-109809697.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,75000 - 79999,2014,2014,4608cc,2014,2025,Selangor,"RM208,800"
Suzuki SWIFT 1.4 SPORT (A) Gred 5A,https://www.mudah.my/2022-suzuki-swift-1-4-sport-a-gred-5a-108098401.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Recon,15000 - 19999,2022,,1373cc,1373cc,2025,Selangor,"RM120,000"
